model,rmse,mae,r2,cv_rmse,cv_rmse_std
GradientBoosting,0.5443698554752462,0.42355435345540593,0.9962619850099166,0.5858873787118127,0.048744410730877236
GradientBoosting (tuned),0.46839804825805526,0.3537852498260653,0.9972325291445865,0.5082324139185095,0.031470976829054725
